datetime,open,high,low,close,volume
2020-11-11 16:00:00,0.999,0.9993,0.9989,0.999,5591060.68
2020-11-11 17:00:00,0.999,0.9991,0.9984,0.9984,4314002.37
2020-11-11 18:00:00,0.9985,0.9988,0.9983,0.9988,1511088.44
2020-11-11 19:00:00,0.9988,0.999,0.9987,0.9989,724964.66
2020-11-11 20:00:00,0.999,0.9992,0.9988,0.9989,1016382.26
2020-11-11 21:00:00,0.9989,0.999,0.9987,0.9988,949789.78
2020-11-11 22:00:00,0.9988,0.9989,0.9986,0.9989,1044907.89
2020-11-11 23:00:00,0.9989,0.9993,0.9987,0.999,1153063.35
2020-11-12 00:00:00,0.999,0.9992,0.9984,0.9989,2288584.13
2020-11-12 01:00:00,0.9988,0.999,0.9988,0.999,590808.52
2020-11-12 02:00:00,0.999,0.9992,0.9987,0.9988,2798567.79
2020-11-12 03:00:00,0.9988,0.999,0.9987,0.9989,1991217.18
2020-11-12 04:00:00,0.9989,0.9992,0.9989,0.9991,827255.37
2020-11-12 05:00:00,0.999,0.9992,0.999,0.999,484891.45
2020-11-12 06:00:00,0.9991,0.9992,0.9989,0.9989,859343.61
2020-11-12 07:00:00,0.9989,0.999,0.9987,0.999,932663.25
2020-11-12 08:00:00,0.9989,0.9991,0.9988,0.9989,510543.26
2020-11-12 09:00:00,0.999,0.9991,0.9982,0.9989,1246287.92
2020-11-12 10:00:00,0.9989,0.9991,0.9988,0.9991,1809599.48
2020-11-12 11:00:00,0.9991,0.9992,0.9988,0.999,2209668.68
2020-11-12 12:00:00,0.999,0.999,0.9982,0.9985,1857805.47
2020-11-12 13:00:00,0.9985,0.9988,0.9985,0.9987,872423.5
2020-11-12 14:00:00,0.9987,0.9991,0.9986,0.9987,1111550.86
2020-11-12 15:00:00,0.9987,0.9988,0.9981,0.9982,1881605.57
2020-11-12 16:00:00,0.9982,0.9986,0.9981,0.9984,1144215.05
2020-11-12 17:00:00,0.9985,0.9989,0.9984,0.9986,1041625.06
2020-11-12 18:00:00,0.9986,0.9989,0.9985,0.9988,1019599.24
2020-11-12 19:00:00,0.9988,0.9991,0.9988,0.9988,901345.53
2020-11-12 20:00:00,0.9989,0.9989,0.9987,0.9988,948073.39
2020-11-12 21:00:00,0.9988,0.999,0.9983,0.9988,1830465.99
2020-11-12 22:00:00,0.9987,0.9991,0.9982,0.9988,2200493.06
2020-11-12 23:00:00,0.9988,0.999,0.9987,0.999,959589.79
2020-11-13 00:00:00,0.999,0.9991,0.9984,0.9986,1834969.6
2020-11-13 01:00:00,0.9986,0.9988,0.9986,0.9988,851361.32
2020-11-13 02:00:00,0.9988,0.9988,0.9986,0.9986,658112.35
2020-11-13 03:00:00,0.9986,0.9988,0.9985,0.9987,1591117.57
2020-11-13 04:00:00,0.9988,0.999,0.9985,0.999,1697349.53
2020-11-13 05:00:00,0.999,0.9991,0.9987,0.9991,678545.95
2020-11-13 06:00:00,0.9991,0.9992,0.999,0.9991,964186.41
2020-11-13 07:00:00,0.9991,0.9991,0.9988,0.999,805034.6
2020-11-13 08:00:00,0.9989,0.9993,0.9988,0.9992,826635.55
2020-11-13 09:00:00,0.9992,0.9993,0.9984,0.9992,1669312.37
2020-11-13 10:00:00,0.9992,0.9993,0.9989,0.999,862591.56
2020-11-13 11:00:00,0.999,0.9994,0.9989,0.9991,1428119.91
2020-11-13 12:00:00,0.9991,0.9992,0.9988,0.9989,1718235.82
2020-11-13 13:00:00,0.9989,0.9994,0.9989,0.9992,1005160.45
2020-11-13 14:00:00,0.9992,0.9992,0.9987,0.9991,1157335.89
2020-11-13 15:00:00,0.999,0.9993,0.9989,0.999,1439854.73
2020-11-13 16:00:00,0.9989,0.9992,0.9988,0.9989,2441344.92
2020-11-13 17:00:00,0.9989,0.999,0.9985,0.9988,1726538.55
2020-11-13 18:00:00,0.9989,0.999,0.9988,0.999,796753.52
2020-11-13 19:00:00,0.999,0.9993,0.9989,0.9991,900940.74
2020-11-13 20:00:00,0.9991,0.9992,0.9989,0.999,1072424.7
2020-11-13 21:00:00,0.9991,0.9991,0.9987,0.999,1216014.07
2020-11-13 22:00:00,0.9989,0.999,0.9985,0.9989,879818.81
2020-11-13 23:00:00,0.9989,0.9992,0.9988,0.9989,956551.0
2020-11-14 00:00:00,0.999,0.999,0.9989,0.9989,754890.15
2020-11-14 01:00:00,0.9989,0.9991,0.9989,0.999,516587.3
2020-11-14 02:00:00,0.9989,0.999,0.9988,0.999,564047.13
2020-11-14 03:00:00,0.999,0.9992,0.9989,0.9992,593489.7
2020-11-14 04:00:00,0.9991,0.9992,0.999,0.9991,602328.54
2020-11-14 05:00:00,0.9991,0.9995,0.999,0.9992,1101694.23
2020-11-14 06:00:00,0.9992,0.9993,0.999,0.9991,637560.29
2020-11-14 07:00:00,0.9991,0.9995,0.999,0.9993,558947.59
2020-11-14 08:00:00,0.9993,0.9993,0.999,0.9992,659400.45
2020-11-14 09:00:00,0.9992,0.9994,0.9991,0.9993,1016647.34
2020-11-14 10:00:00,0.9992,0.9994,0.9991,0.9992,655975.59
2020-11-14 11:00:00,0.9992,0.9993,0.999,0.9991,599284.93
2020-11-14 12:00:00,0.9991,0.9994,0.999,0.9993,1575110.54
2020-11-14 13:00:00,0.9992,0.9994,0.9991,0.9994,447480.08
2020-11-14 14:00:00,0.9993,0.9994,0.999,0.9992,913245.37
2020-11-14 15:00:00,0.9992,0.9995,0.999,0.9992,1629289.85
2020-11-14 16:00:00,0.9992,0.9995,0.9991,0.9993,625941.4
2020-11-14 17:00:00,0.9993,0.9995,0.9993,0.9993,870480.25
2020-11-14 18:00:00,0.9994,0.9994,0.9991,0.9992,569792.35
2020-11-14 19:00:00,0.9992,0.9992,0.9991,0.9991,189334.5
2020-11-14 20:00:00,0.9991,0.9992,0.999,0.9991,411595.68
2020-11-14 21:00:00,0.999,0.9991,0.9989,0.999,620663.14
2020-11-14 22:00:00,0.9991,0.9991,0.9989,0.999,582425.44
2020-11-14 23:00:00,0.9989,0.9991,0.9989,0.9991,518449.09
2020-11-15 00:00:00,0.9991,0.9993,0.999,0.9991,472530.3
2020-11-15 01:00:00,0.9991,0.9993,0.999,0.9991,713720.14
2020-11-15 02:00:00,0.9991,0.9993,0.999,0.9993,797564.76
2020-11-15 03:00:00,0.9993,0.9995,0.9992,0.9993,892560.95
2020-11-15 04:00:00,0.9992,0.9994,0.9992,0.9994,531700.12
2020-11-15 05:00:00,0.9994,0.9995,0.999,0.9992,580355.41
2020-11-15 06:00:00,0.9992,0.9993,0.999,0.9992,404605.23
2020-11-15 07:00:00,0.9992,0.9994,0.9991,0.9994,331674.63
2020-11-15 08:00:00,0.9994,0.9994,0.9992,0.9992,417266.21
2020-11-15 09:00:00,0.9992,0.9993,0.9991,0.9991,511925.89
2020-11-15 10:00:00,0.9991,0.9993,0.9991,0.9992,762683.97
2020-11-15 11:00:00,0.9992,0.9993,0.9991,0.9991,805573.7
2020-11-15 12:00:00,0.9991,0.9993,0.999,0.9992,1118346.53
2020-11-15 13:00:00,0.9991,0.9993,0.999,0.9993,976107.41
2020-11-15 14:00:00,0.9993,0.9994,0.999,0.9993,838406.6
2020-11-15 15:00:00,0.9993,0.9997,0.9993,0.9994,1780512.7
2020-11-15 16:00:00,0.9993,0.9994,0.999,0.9992,1110485.08
2020-11-15 17:00:00,0.9992,0.9993,0.999,0.9992,1237142.55
2020-11-15 18:00:00,0.9991,0.9996,0.999,0.9992,683418.12
2020-11-15 19:00:00,0.9991,0.9993,0.999,0.999,414002.34
2020-11-15 20:00:00,0.999,0.9996,0.999,0.9993,717064.66
2020-11-15 21:00:00,0.9992,0.9994,0.9992,0.9994,324566.27
2020-11-15 22:00:00,0.9993,0.9996,0.9991,0.9992,733298.62
2020-11-15 23:00:00,0.9993,0.9996,0.9992,0.9992,1095565.68
2020-11-16 00:00:00,0.9992,0.9995,0.9992,0.9993,771450.68
2020-11-16 01:00:00,0.9993,0.9994,0.9992,0.9992,286416.31
2020-11-16 02:00:00,0.9992,0.9996,0.9992,0.9993,846279.56
2020-11-16 03:00:00,0.9992,0.9994,0.9992,0.9994,430124.49
2020-11-16 04:00:00,0.9994,0.9995,0.9993,0.9994,442711.58
2020-11-16 05:00:00,0.9994,0.9994,0.9992,0.9994,673761.04
2020-11-16 06:00:00,0.9993,0.9995,0.999,0.9994,1625688.58
2020-11-16 07:00:00,0.9995,0.9996,0.9992,0.9992,1130511.24
2020-11-16 08:00:00,0.9993,0.9993,0.9991,0.9993,815429.14
2020-11-16 09:00:00,0.9993,0.9996,0.9992,0.9996,764778.29
2020-11-16 10:00:00,0.9996,0.9996,0.9993,0.9994,1076280.37
2020-11-16 11:00:00,0.9994,0.9996,0.9993,0.9995,849692.88
2020-11-16 12:00:00,0.9995,0.9997,0.9993,0.9996,1251607.14
2020-11-16 13:00:00,0.9996,0.9997,0.9994,0.9997,1618637.76
2020-11-16 14:00:00,0.9997,0.9998,0.9995,0.9995,1200107.12
2020-11-16 15:00:00,0.9996,0.9996,0.9991,0.9994,1558270.19
2020-11-16 16:00:00,0.9994,0.9998,0.9992,0.9995,1498288.42
2020-11-16 17:00:00,0.9995,0.9999,0.9994,0.9996,2428651.77
2020-11-16 18:00:00,0.9996,0.9996,0.9992,0.9994,1874012.33
2020-11-16 19:00:00,0.9994,0.9996,0.9992,0.9994,1203887.08
2020-11-16 20:00:00,0.9995,0.9995,0.9993,0.9994,923245.94
2020-11-16 21:00:00,0.9993,0.9995,0.9989,0.9995,1482139.31
2020-11-16 22:00:00,0.9995,0.9997,0.9994,0.9995,686936.94
2020-11-16 23:00:00,0.9995,0.9996,0.9993,0.9995,714856.04
